unit_code,coordinator_id,unit_name,short_name,credits,study_level,,,U22338,NOT EXISTS
P22436,A.Paraskelidis,INTERACTION IN COMPUTER SYSTEMS,INCOS,30,FHEQ_7,,,U22338,NOT EXISTS
P22437,P.Hart,INFORMATION SYSTEMS MANAGEMENT,INFMAN,30,FHEQ_7,,,U21278,NOT EXISTS
P22242,A.Bennett,INFORMATION SYSTEMS DEVELOPMENT,INSYD,30,FHEQ_7,,,U21278,NOT EXISTS
U22244,B.Carpenter,MASTERS ENGINEERING PROJECT,PJE60P,60,FHEQ_7,,,U21278,NOT EXISTS
U22245,B.Carpenter,MASTERS STUDY PROJECT,PJS60P,60,FHEQ_7,,,U21278,EXIST
U26153,J.Crellin,COMP TUTORIAL LEVEL 7,U26153,0,FHEQ_7,,,U22389,NOT EXISTS
P22439,P.Hart,WEB DEVELOPMENT,WEBDEV,30,FHEQ_7,,,U21279,NOT EXISTS
U25680*,J.Chlebikova,STUDY ABROAD (MASTERS),U25680*,60,FHEQ_7,,,U21279,EXIST
U23829,N.Bakhshov,COMPUTER ARCHITECTURE,CAR,20,FHEQ_4,,,U22445,NOT EXISTS
U22346,N.Savage,DIGITAL FORENSICS: ART OR SCIENCE?,DFAOS,20,FHEQ_4,,,U21266,EXIST
U21259,M.Venn,INTRODUCTION TO DATABASE DESIGN AND DEVELOPMENT,INDADD,20,FHEQ_4,,,U21266,EXIST
U21261,M.Poole,INTRODUCTION TO PROGRAMMING,INTPROG,40,FHEQ_4,,,U21266,EXIST
U21262,A.Peart,NETWORK FUNDAMENTALS,NETFUN,20,FHEQ_4,,,U22433,EXIST
U22731,N.Bakhshov,COMP TUTORIAL LEVEL 4,U22731,0,FHEQ_4,,,U22433,EXIST
U21260,R.Boakes,WEB FOUNDATIONS 1,WEBF1,20,FHEQ_4,,,U22433,EXIST
U22338,J.Tan,3D COMPUTER GRAPHICS AND ANIMATION,3DCGAA,20,FHEQ_5,,,U22433,EXIST
U21266,J.Tan,ADVANCED PROGRAMMING CONCEPTS,ADPROC,20,FHEQ_5,,,U22433,EXIST
U21268,B.Carpenter,COMPUTER OPERATING SYSTEMS AND INTERMEDIATE NETWORKING,COSINE,20,FHEQ_5,,,U22433,EXIST
U23800,P.Beukman,COMPUTING UNDERGRADUATE AMBASSADOR,CUA,20,FHEQ_5,,,U22433,EXIST
U21269,J.Kopecky,DATABASE PRINCIPLES,DBPRIN,20,FHEQ_5,,,U22433,EXIST
U21270,A.Wilson,DATA STRUCTURES AND ALGORITHMS,DSALG,20,FHEQ_5,,,U21280,EXIST
U21272,M.Dennis,GETTING USABILITY INTO DEVELOPMENT ENVIRONMENTS,GUDE,20,FHEQ_5,,,U21280,NOT EXISTS
U21273,C.Iacob,INTRODUCTION TO SOFTWARE ENGINEERING,INSE,20,FHEQ_5,,,U21280,EXIST
U22342,S.Usher,INFORMATION SYSTEMS AND PROJECT MANAGEMENT,ISPM,20,FHEQ_5,,,U21280,NOT EXISTS
IWLP20,,IWLP - 20 CR - COURSE STRUCTURE PURPOSES ONLY,IWLP20,20,FHEQ_5,,,U21804,EXIST
U21274,J.Chlebikova,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,MATHFUN,20,FHEQ_5,,,U21804,EXIST
U22732,D.Zhou,COMP TUTORIAL LEVEL 5,U22732,0,FHEQ_5,,,U21804,EXIST
U21264,R.Boakes,WEB-SCRIPT PROGRAMMING,WEBSCRP,20,FHEQ_5,,,U21804,EXIST
U21279,M.Adda,ADVANCED NETWORKS,ADNET,20,FHEQ_6,,,U22374,EXIST
U23526,J.Tan,APPLIED COMPUTER GRAPHICS AND VISION,AGAV,20,FHEQ_6,,,U23526,EXIST
U21280,I.Jordanov,ADVANCED SOFTWARE ENGINEERING,ASE,20,FHEQ_6,,,U23526,EXIST
U25766,Z.Ju,COMPUTING FOR ROBOTICS,COMROB,20,FHEQ_6,,,U26488,EXIST
U21281,A.Peart,DISTRIBUTED SYSTEMS AND PARALLEL PROGRAMMING,DISPARP,20,FHEQ_6,,,U25157,EXIST
U21289,J.Briggs,ENTERPRISE WEB ARCHITECTURES,ENTWA,20,FHEQ_6,,,U25157,EXIST
U21284,A.Gegov,FUZZY LOGIC - THEORY AND APPLICATIONS,FLOTA,20,FHEQ_6,,,U25157,EXIST
U25352,I.Jordanov,NEURAL NETWORKS AND GENETIC ALGORITHMS,NENGA,20,FHEQ_6,,,U25157,EXIST
U22507,O.Matthew,PROFESSIONAL AND ACADEMIC RESEARCH DEVELOPMENT,PARD,20,FHEQ_6,,,U26491,EXIST
U25764,M.Bader,PRACTICAL DATA ANALYTICS AND MINING,PDAM,20,FHEQ_6,,,U21267,EXIST
U24739,C.Iacob,INDIVIDUAL PROJECT (ENGINEERING),PJE,40,FHEQ_6,,,U21267,NOT EXISTS
U24935*,L.Woods,PLACEMENT LEARNING 20,PLACE 20,20,FHEQ_5,,,U26490,EXIST
U21288,N.Savage,RELIABLE AND SECURE SYSTEMS,RASS,20,FHEQ_6,,,U25158,EXIST
U22359,G.Owenson,SECURITY AND CRYPTOGRAPHY,SECRYPT,20,FHEQ_6,,,U25158,NOT EXISTS
U25681*,J.Chlebikova,EXCHANGE STUDY ABROAD,STUDYA40,40,FHEQ_5,,,U25158,EXIST
U21276,J.Chlebikova,THEORETICAL COMPUTER SCIENCE,THEOCS,20,FHEQ_6,,,U21769,NOT EXISTS
U22733,,COMP TUTORIAL LEVEL 6,U22733,0,FHEQ_6,,,U21769,NOT EXISTS
U26366,S.Marsden,COMPUTER SCIENCE TEACHING PLACEMENT,U26366,40,FHEQ_6,,,U21769,EXIST
U21277,R.Boakes,WEB RESEARCH,WEBRES,20,FHEQ_6,,,U22344,EXIST
U25157,P.Beukman,BASICS OF THE BUSINESS ENVIRONMENT,BABE,20,FHEQ_4,,,U22344,EXIST
U22344,P.Hart,BUSINESS SYSTEMS ANALYSIS AND DESIGN,BUSAD1,20,FHEQ_4,,,U21422,EXIST
U25765,A.Plummer,INTRODUCTION TO COMPUTER ESSENTIALS,INCOMP,20,FHEQ_4,,,U21422,EXIST
U22349,A.Bennett,SOCIAL AND LEGAL ASPECTS OF COMPUTING,SOCALC,20,FHEQ_4,,,U24371,EXIST
U21267,S.Harding,BUSINESS INFORMATION SYSTEMS SECURITY,BISS,20,FHEQ_5,,,U24371,EXIST
U21769,P.Bednar,BUSINESS SYSTEMS ANALYSIS,BSYS,20,FHEQ_5,,,U24371,EXIST
U25158,S.Usher,BUSINESS RESEARCH,BURS,20,FHEQ_5,,,U24371,NOT EXISTS
U21764,H.Burton,BUSINESS & EMPLOYMENT LAW,U21764,20,FHEQ_5,,,U21436,NOT EXISTS
U22040,Pe.Scott,"ORGANISATIONAL ANALYSIS, THEORY & DESIGN",U22040,20,FHEQ_5,,,U21436,NOT EXISTS
U24036,D.Starkey,SOCIAL COMPUTING FOR BUSINESS,U24036,20,FHEQ_5,,,U21436,EXIST
U21278,P.Beukman,ADVANCED DATABASE CONCEPTS,ADCON,20,FHEQ_6,,,U21436,EXIST
U21804,P.Bednar,ADVANCED SYSTEMS ANALYSIS,ADSYS,20,FHEQ_6,,,U21436,NOT EXISTS
U21807,D.Starkey,BUSINESS INTELLIGENCE,BI,20,FHEQ_6,,,U21436,EXIST
U25159,P.Hart,DIGITAL ENTERPRISE AND INNOVATION,DENTIN,20,FHEQ_6,,,U21436,EXIST
U21283,P.Beukman,EDUCATIONAL COMPUTING,EDCOM,20,FHEQ_6,,,U22731,NOT EXISTS
U22988,S.Usher,INFORMATION SYSTEMS MANAGEMENT,ISMAN,20,FHEQ_6,,,U22731,EXIST
U22508,C.Iacob,FINAL YEAR STUDY PROJECT,PJS40,40,FHEQ_6,,,U22731,EXIST
U22358,Ph.Scott,PROJECT MANAGEMENT FOR INFORMATION SYSTEMS,PRMAN,20,FHEQ_6,,,U22732,EXIST
U25160,B.Aziz,SECURITY MANAGEMENT,SECMAN,20,FHEQ_6,,,U22732,EXIST
U23483,A.Peart,DISTRIBUTED  AND MOBILE SYSTEMS,DISMOB,20,FHEQ_6,,,U26153,EXIST
U21285,O.Omisade,HUMAN COMPUTER INTERACTION DESIGN,HUCID,20,FHEQ_6,,,U26153,NOT EXISTS
P21439,S.Aljareh,INDIVIDUAL MSC PROJECT,ENG702,60,FHEQ_7,,,U26153,NOT EXISTS
P21422,S.Zhou,CLIENT SERVER NETWORK ARCHITECTURE,ENG720S1,20,FHEQ_7,,,U26153,NOT EXISTS
P21432,S.Aljareh,NETWORK DESIGN AND MANAGEMENT,ENG749S2,20,FHEQ_7,,,U26153,NOT EXISTS
P21433,S.Aljareh,DATA COMMUNICATIONS AND NETWORKING,ENG751S1,20,FHEQ_7,,,U23829,NOT EXISTS
P22919,V.Adamos,ICT CONFIGURATION AND ADMINISTRATION,ENG753S1,20,FHEQ_7,,,U22434,NOT EXISTS
P21436,S.Aljareh,COMMUNICATION SECURITY,ENG757S2,20,FHEQ_7,,,U22434,NOT EXISTS
P24371,V.Adamos,CLOUD COMPUTING,ENG759S2,20,FHEQ_7,,,U22434,NOT EXISTS
U22678,,TUTORIAL M,U22678,0,FHEQ_7,,,U22434,NOT EXISTS
P22433,J.Briggs,ADVANCED PROGRAMMING SKILLS FOR THE WEB,APSW,30,FHEQ_7,,,U22434,NOT EXISTS
P22434,M.Adda,COMPUTER FORENSIC INVESTIGATION AND CRYPTOGRAPHY,COMFIC,30,FHEQ_7,,,U22434,NOT EXISTS
P22240,B.Aziz,COMPUTER SECURITY,CSEC,30,FHEQ_7,,,U22434,EXIST
U23508,S.Harding,MOBILE FORENSICS: ISSUE AND PRACTICE,MFIP,30,FHEQ_7,,,U22434,NOT EXISTS
P22246,B.Carpenter,"SYSTEMS, SECURITY AND DATA ANALYSIS",SYSDA,30,FHEQ_7,,,U22434,NOT EXISTS
U25641,M.Sadok,THE GLOBAL LANDSCAPE OF CYBERSECURITY,TGLOC,30,FHEQ_7,,,U22434,NOT EXISTS
U21275,A.Plummer,WEB FOUNDATIONS 2,WEBF2,20,FHEQ_5,,,U21268,NOT EXISTS
U25767,J.Kopecky,CLOUD COMPUTING AND OPEN-SOURCE SOFTWARE,CLOCOSS,20,FHEQ_6,,,U21268,NOT EXISTS
P21383,M.Williams,WRITING AND RESEARCH IN THE WORKPLACE,ENG400,20,FHEQ_4,,,U22240,NOT EXISTS
P21386,M.Al-Mosawi,FUNDAMENTALS OF COMPUTER SYSTEMS,ENG420,20,FHEQ_4,,,U22240,NOT EXISTS
P21387,J.Robertson,INTRODUCTION TO ALGORITHMS AND PROGRAMMING,ENG421,20,FHEQ_4,,,U22240,NOT EXISTS
P24927,R.Khusainov,SCIENTIFIC PRINCIPLES FOR ICT,ENG433,20,FHEQ_4,,,U22240,NOT EXISTS
P24343,L.Yang,SYSTEM ADMINISTRATION AND INTERNETWORKING,ENG450,20,FHEQ_4,,,U24122,NOT EXISTS
P21382,M.Malik,CONCEPTS OF DATA COMMUNICATION NETWORKS,ENG451,20,FHEQ_4,,,U24122,NOT EXISTS
U22674,,TUTORIAL Y1,U22674,0,FHEQ_4,,,U24122,NOT EXISTS
P21399,A.Tawfik,GROUP DESIGN PROJECT,ENG500,20,FHEQ_5,,,U24122,NOT EXISTS
P24928,V.Adamos,NETWORK PROTOCOLS,ENG541,20,FHEQ_5,,,U24122,NOT EXISTS
P24342,V.Adamos,NETWORK SERVICES ADMINISTRATION AND VIRTUALISATION,ENG550,20,FHEQ_5,,,U24122,NOT EXISTS
P21394,I.Kagalidis,SWITCHED NETWORK ARCHITECTURES,ENG551,20,FHEQ_5,,,U24122,NOT EXISTS
P21396,I.Kagalidis,NETWORK ROUTING ARCHITECTURES,ENG553,20,FHEQ_5,,,U24122,NOT EXISTS
P23485,L.Yang,PERVASIVE NETWORK APPLICATIONS,ENG554,20,FHEQ_5,,,U24122,NOT EXISTS
P23531,V.Adamos,NETWORK SIMULATION AND TRAFFIC MANAGEMENT,ENG555,20,FHEQ_5,,,U25766,NOT EXISTS
U22675,,TUTORIAL Y2,U22675,0,FHEQ_5,,,U25766,NOT EXISTS
U22683,,INDIVIDUAL PROJECT ALLOCATION (TT),U22683,0,FHEQ_5,,,U25766,NOT EXISTS
P23441,J.Zekonyte,INDIVIDUAL PROJECT,ENG600,40,FHEQ_6,,,U25766,NOT EXISTS
P23530,S.Zhou,NETWORK DESIGN,ENG649,20,FHEQ_6,,,U25766,NOT EXISTS
P25810,S.Zhou,ENTERPRISE AND ISP NETWORK SOLUTIONS,ENG651,20,FHEQ_6,,,U23800,NOT EXISTS
P21420,V.Adamos,WAN AND VLAN SOLUTIONS,ENG653,20,FHEQ_6,,,U23800,NOT EXISTS
P21406,L.Yang,NETWORK OPERATIONS AND MANAGEMENT,ENG657,20,FHEQ_6,,,U23800,NOT EXISTS
U22676,,TUTORIAL Y3,U22676,0,FHEQ_6,,,U23800,NOT EXISTS
U26305,N.Savage,CYBER SECURITY AND DIGITAL FORENSICS,U26305,20,FHEQ_4,,,U23800,EXIST
U24342,V.Adamos,NETWORK SERVICES ADMINISTRATION AND VIRTUALISATION,ENG550,20,FHEQ_5,,,U21382,EXIST
U23509,F.Li,FORENSICS FUNDAMENTALS,FORFUN,20,FHEQ_5,,,U21382,EXIST
U23510,G.Owenson,FORENSICS INVESTIGATIONS,FORIN,20,FHEQ_5,,,U21382,NOT EXISTS
U20767,E.Godin,LEARNING FROM EXPERIENCE,LIFE,20,FHEQ_5,,,U21382,NOT EXISTS
U20768,E.Godin,LEARNING FROM EXPERIENCE,U20768,20,FHEQ_5,,,U21382,EXIST
U26306,G.Owenson,LIFE COMPUTING ? FOR TIMETABLING PURPOSES ONLY,U26306,0,FHEQ_5,,,U21382,EXIST
U21406,L.Yang,NETWORK OPERATIONS AND MANAGEMENT,ENG657,20,FHEQ_6,,,U21433,EXIST
U23524,G.Owenson,MALWARE FORENSICS,MALFOR,20,FHEQ_6,,,U21433,EXIST
U23826,N.Savage,SYSTEM SECURITY,SYSSEC,20,FHEQ_6,,,U21433,EXIST
U24122,H.Liu,COMPUTER VISION,COMVI,30,FHEQ_7,,,U21433,EXIST
U24123,A.Bennett,GROUP INDUSTRIAL PROJECT,GRIP,30,FHEQ_7,,,U21433,EXIST
U24452,A.Good,RESEARCH INTERNAL PLACEMENT,RESINT,30,FHEQ_7,,,U21433,EXIST
U24453,A.Good,RESEARCH PREPARATION AND DEVELOPMENT,RESPREP,60,FHEQ_7,,,U26489,EXIST
U24451,A.Good,RESEARCH PROJECT,RESPRO,90,FHEQ_7,,,U21270,EXIST
U26488,M.Bader,APPLIED DATA AND TEXT ANALYTICS,U26488,30,FHEQ_7,,,U21270,EXIST
U26489,M.Venn,DATA MANAGEMENT,U26489,30,FHEQ_7,,,U21270,EXIST
U26490,M.Venn,BUSINESS INTELLIGENCE,U26490,30,FHEQ_7,,,U21270,EXIST
U26491,M.Bader,BIG DATA APPLICATIONS,U26491,30,FHEQ_7,,,U21269,EXIST
U26483,F.Arabikhan,PRACTICAL DATA SCIENCE,U26483,40,FHEQ_4,,,U21269,NOT EXISTS
U20748,R.Treloar,STATISTICAL THEORY & METHODS II,M241,20,FHEQ_5,,,U25159,NOT EXISTS
U26485,N.Savage,BIG DATA,U26485,20,FHEQ_5,,,U25159,NOT EXISTS
U26538,M.Bader,APPLIED MACHINE LEARNING AND DATA MINING,U26538,20,FHEQ_5,,,U25159,NOT EXISTS
U20732,M.Cerasuolo,STATISTICS METHODS IN HEALTH RESEARCH & SOCIAL SCIENCE,M342,20,FHEQ_6,,,U21274,NOT EXISTS
U21287,P.Hart,FINAL YEAR ENGINEERING PROJECT,PJE40,40,FHEQ_6,,,U21274,NOT EXISTS
U26487,N.Savage,OPEN INNOVATIONS IN DATA SCIENCE,U26487,20,FHEQ_6,,,U23483,NOT EXISTS
U26507,N.Savage,BUSINESS ANALYTICS,U26507,20,FHEQ_6,,,U23483,NOT EXISTS
,,,,,,,,U23483,
,,,,,,,,U21281,
,,,,,,,,U22375,
,,,,,,,,U21283,
,,,,,,,,U21283,
,,,,,,,,U21283,
,,,,,,,,U21283,
,,,,,,,,U21283,
,,,,,,,,U21283,
,,,,,,,,U25810,
,,,,,,,,U25810,
,,,,,,,,U25810,
,,,,,,,,U25810,
,,,,,,,,U25810,
,,,,,,,,U21289,
,,,,,,,,U21289,
,,,,,,,,U21289,
,,,,,,,,U21289,
,,,,,,,,U21289,
,,,,,,,,U21289,
,,,,,,,,U22357,
,,,,,,,,U22357,
,,,,,,,,U22508,
,,,,,,,,U23509,
,,,,,,,,U23510,
,,,,,,,,U23510,
,,,,,,,,U23510,
,,,,,,,,U21386,
,,,,,,,,U21386,
,,,,,,,,U21386,
,,,,,,,,U21386,
,,,,,,,,U21386,
,,,,,,,,U21386,
,,,,,,,,U21386,
,,,,,,,,U21284,
,,,,,,,,U21284,
,,,,,,,,U21284,
,,,,,,,,U21284,
,,,,,,,,U21272,
,,,,,,,,U21272,
,,,,,,,,U24123,
,,,,,,,,U24123,
,,,,,,,,U24123,
,,,,,,,,U24123,
,,,,,,,,U21285,
,,,,,,,,U21285,
,,,,,,,,U21285,
,,,,,,,,U21285,
,,,,,,,,U21285,
,,,,,,,,U21285,
,,,,,,,,U21285,
,,,,,,,,U21285,
,,,,,,,,U22919,
,,,,,,,,U22919,
,,,,,,,,U22919,
,,,,,,,,U24739,
,,,,,,,,U22342,
,,,,,,,,U22342,
,,,,,,,,U22242,
,,,,,,,,U22242,
,,,,,,,,U22242,
,,,,,,,,U22242,
,,,,,,,,U22242,
,,,,,,,,U22437,
,,,,,,,,U22437,
,,,,,,,,U22437,
,,,,,,,,U22437,
,,,,,,,,U22437,
,,,,,,,,U22437,
,,,,,,,,U22437,
,,,,,,,,U22510,
,,,,,,,,U22436,
,,,,,,,,U22436,
,,,,,,,,U22436,
,,,,,,,,U22436,
,,,,,,,,U22436,
,,,,,,,,U22436,
,,,,,,,,U25765,
,,,,,,,,U25765,
,,,,,,,,U21259,
,,,,,,,,U21259,
,,,,,,,,U21261,
,,,,,,,,U21261,
,,,,,,,,U21261,
,,,,,,,,U21261,
,,,,,,,,U21261,
,,,,,,,,U21261,
,,,,,,,,U21261,
,,,,,,,,U21261,
,,,,,,,,U26107,
,,,,,,,,U26107,
,,,,,,,,U26107,
,,,,,,,,U26107,
,,,,,,,,U26306,
,,,,,,,,U26306,
,,,,,,,,U26306,
,,,,,,,,U26306,
,,,,,,,,U26306,
,,,,,,,,U26306,
,,,,,,,,U23524,
,,,,,,,,U23524,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23508,
,,,,,,,,U23530,
,,,,,,,,U23530,
,,,,,,,,U23530,
,,,,,,,,U23530,
,,,,,,,,U23530,
,,,,,,,,U21432,
,,,,,,,,U21432,
,,,,,,,,U21432,
,,,,,,,,U21432,
,,,,,,,,U21432,
,,,,,,,,U21262,
,,,,,,,,U21406,
,,,,,,,,U21406,
,,,,,,,,U21406,
,,,,,,,,U21406,
,,,,,,,,U24928,
,,,,,,,,U24928,
,,,,,,,,U24928,
,,,,,,,,U24928,
,,,,,,,,U24928,
,,,,,,,,U24928,
,,,,,,,,U24928,
,,,,,,,,U24928,
,,,,,,,,U21396,
,,,,,,,,U21396,
,,,,,,,,U21396,
,,,,,,,,U21396,
,,,,,,,,U21396,
,,,,,,,,U21396,
,,,,,,,,U24342,
,,,,,,,,U24342,
,,,,,,,,U24342,
,,,,,,,,U23531,
,,,,,,,,U23531,
,,,,,,,,U23531,
,,,,,,,,U23531,
,,,,,,,,U25352,
,,,,,,,,U25352,
,,,,,,,,U23485,
,,,,,,,,U23485,
,,,,,,,,U23485,
,,,,,,,,U23485,
,,,,,,,,U23485,
,,,,,,,,U25764,
,,,,,,,,U25764,
,,,,,,,,U26483,
,,,,,,,,U26483,
,,,,,,,,U26483,
,,,,,,,,U26483,
,,,,,,,,U26483,
,,,,,,,,U22507,
,,,,,,,,U22507,
,,,,,,,,U22507,
,,,,,,,,U22507,
,,,,,,,,U22376,
,,,,,,,,U22358,
,,,,,,,,U22358,
,,,,,,,,U22358,
,,,,,,,,U22358,
,,,,,,,,U21288,
,,,,,,,,U21288,
,,,,,,,,U21288,
,,,,,,,,U24452,
,,,,,,,,U24452,
,,,,,,,,U25537,
,,,,,,,,U25537,
,,,,,,,,U24453,
,,,,,,,,U24453,
,,,,,,,,U25536,
,,,,,,,,U25536,
,,,,,,,,U24451,
,,,,,,,,U24451,
,,,,,,,,U25535,
,,,,,,,,U25535,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U24927,
,,,,,,,,U22359,
,,,,,,,,U22359,
,,,,,,,,U22359,
,,,,,,,,U25160,
,,,,,,,,U25160,
,,,,,,,,U22349,
,,,,,,,,U22349,
,,,,,,,,U21394,
,,,,,,,,U21394,
,,,,,,,,U21394,
,,,,,,,,U21394,
,,,,,,,,U21394,
,,,,,,,,U21394,
,,,,,,,,U24343,
,,,,,,,,U24343,
,,,,,,,,U24343,
,,,,,,,,U24343,
,,,,,,,,U24343,
,,,,,,,,U24343,
,,,,,,,,U23826,
,,,,,,,,U22246,
,,,,,,,,U22246,
,,,,,,,,U22246,
,,,,,,,,U22246,
,,,,,,,,U22246,
,,,,,,,,U22246,
,,,,,,,,U21276,
,,,,,,,,U21276,
,,,,,,,,U21276,
,,,,,,,,U21420,
,,,,,,,,U21420,
,,,,,,,,U21420,
,,,,,,,,U21420,
,,,,,,,,U22439,
,,,,,,,,U22439,
,,,,,,,,U22439,
,,,,,,,,U22439,
,,,,,,,,U22439,
,,,,,,,,U22439,
,,,,,,,,U21260,
,,,,,,,,U21277,
,,,,,,,,U21277,
,,,,,,,,U21277,
,,,,,,,,U21264,
,,,,,,,,U21264,
,,,,,,,,U21264,
,,,,,,,,U21264,
