lecture_weeks - Split 1,lecture_weeks - Split 2,lecture_weeks - Split 3,lecture_weeks - Split 4,lecture_weeks - Split 5,lecture_weeks - Split 6,lecture_weeks - Split 7,lecture_weeks - Split 8,lecture_weeks - Split 9,lecture_weeks - Split 10,lecture_id,unit_code,lecture_start_time,lecture_day,unit_name,lecture_end_time,module_type,lecture_weeks
14,15,16,17,18,19,21,22,23,24,13177,P21432,30/12/1899 12:00:00,Wed,NETWORK DESIGN AND MANAGEMENT,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
15,17,19,22,24,26,,,,,13178,P21432,30/12/1899 12:00:00,Mon,NETWORK DESIGN AND MANAGEMENT,30/12/1899 13:00:00,Tut,"15,17,19,22,24,26"
19,,,,,,,,,,13179,P21432,30/12/1899 09:00:00,Thu,NETWORK DESIGN AND MANAGEMENT,30/12/1899 12:00:00,Lab,19
23,,,,,,,,,,13180,P21432,30/12/1899 09:00:00,Thu,NETWORK DESIGN AND MANAGEMENT,30/12/1899 12:00:00,Lab,23
14,15,16,17,18,19,21,22,23,24,13181,U21262,30/12/1899 09:00:00,Thu,NETWORK FUNDAMENTALS,30/12/1899 10:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,,,,,,13182,U21406,30/12/1899 09:00:00,Mon,NETWORK OPERATIONS AND MANAGEMENT,30/12/1899 10:00:00,Lect,"2,3,4,5,6"
8,9,10,11,12,13,,,,,13183,U21406,30/12/1899 09:00:00,Mon,NETWORK OPERATIONS AND MANAGEMENT,30/12/1899 12:00:00,Comp,"8,9,10,11,12,13"
14,15,16,17,18,,,,,,13184,U21406,30/12/1899 09:00:00,Mon,NETWORK OPERATIONS AND MANAGEMENT,30/12/1899 10:00:00,Lect,"14,15,16,17,18"
19,21,22,23,25,26,,,,,13185,U21406,30/12/1899 09:00:00,Mon,NETWORK OPERATIONS AND MANAGEMENT,30/12/1899 12:00:00,Comp,"19,21,22,23,25,26"
2,3,4,5,8,9,10,11,,,13186,P24928,30/12/1899 16:00:00,Tue,NETWORK PROTOCOLS,30/12/1899 18:00:00,Lect,"2,3,4,5,8,9,10,11"
9,10,,,,,,,,,13187,P24928,30/12/1899 11:00:00,Mon,NETWORK PROTOCOLS,30/12/1899 13:00:00,Comp,"9,10"
13,14,,,,,,,,,13188,P24928,30/12/1899 15:00:00,Thu,NETWORK PROTOCOLS,30/12/1899 17:00:00,Drop-In,"13,14"
15,16,17,19,21,22,23,,,,13189,P24928,30/12/1899 16:00:00,Tue,NETWORK PROTOCOLS,30/12/1899 17:00:00,Lect,"15,16,17,19,21,22,23"
16,17,18,19,21,22,23,,,,13190,P24928,30/12/1899 17:00:00,Thu,NETWORK PROTOCOLS,30/12/1899 18:00:00,Lect,"16,17,18,19,21,22,23"
19,,,,,,,,,,13191,P24928,30/12/1899 14:00:00,Tue,NETWORK PROTOCOLS,30/12/1899 16:00:00,Tut,19
21,,,,,,,,,,13192,P24928,30/12/1899 15:00:00,Thu,NETWORK PROTOCOLS,30/12/1899 17:00:00,Comp,21
25,,,,,,,,,,13193,P24928,30/12/1899 16:00:00,Tue,NETWORK PROTOCOLS,30/12/1899 17:00:00,Lect,25
2,,,,,,,,,,13194,P21396,30/12/1899 13:00:00,Fri,NETWORK ROUTING ARCHITECTURES,30/12/1899 16:00:00,Tut,2
3,,,,,,,,,,13195,P21396,30/12/1899 13:00:00,Fri,NETWORK ROUTING ARCHITECTURES,30/12/1899 16:00:00,Tut,3
4,5,6,8,9,10,11,12,13,,13196,P21396,30/12/1899 13:00:00,Fri,NETWORK ROUTING ARCHITECTURES,30/12/1899 16:00:00,Comp,"4,5,6,8,9,10,11,12,13"
14,,,,,,,,,,13197,P21396,30/12/1899 15:00:00,Fri,NETWORK ROUTING ARCHITECTURES,30/12/1899 17:00:00,Tut,14
15,16,17,18,21,22,23,,,,13198,P21396,30/12/1899 13:00:00,Fri,NETWORK ROUTING ARCHITECTURES,30/12/1899 16:00:00,Comp,"15,16,17,18,21,22,23"
25,,,,,,,,,,13199,P21396,30/12/1899 13:00:00,Fri,NETWORK ROUTING ARCHITECTURES,30/12/1899 14:00:00,Tut,25
2,,,,,,,,,,13200,U24342,30/12/1899 15:00:00,Mon,NETWORK SERVICES ADMINISTRATION AND VIRTUALISATION,30/12/1899 16:00:00,Lect,2
14,,,,,,,,,,13201,U24342,30/12/1899 15:00:00,Mon,NETWORK SERVICES ADMINISTRATION AND VIRTUALISATION,30/12/1899 16:00:00,Lect,14
25,,,,,,,,,,13202,U24342,30/12/1899 15:00:00,Mon,NETWORK SERVICES ADMINISTRATION AND VIRTUALISATION,30/12/1899 16:00:00,Tut,25
3,4,5,6,8,9,10,11,12,13,13203,P23531,30/12/1899 16:00:00,Mon,NETWORK SIMULATION AND TRAFFIC MANAGEMENT,30/12/1899 18:00:00,PBL,"3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,,13204,P23531,30/12/1899 16:00:00,Mon,NETWORK SIMULATION AND TRAFFIC MANAGEMENT,30/12/1899 18:00:00,PBL,"14,15,16,17,18,19,21,22,23"
14,15,16,17,18,19,21,22,24,,13205,P23531,30/12/1899 17:00:00,Tue,NETWORK SIMULATION AND TRAFFIC MANAGEMENT,30/12/1899 18:00:00,Drop-In,"14,15,16,17,18,19,21,22,24"
25,,,,,,,,,,13206,P23531,30/12/1899 17:00:00,Tue,NETWORK SIMULATION AND TRAFFIC MANAGEMENT,30/12/1899 18:00:00,Tut,25
2,3,4,5,6,8,9,10,11,12,13207,U25352,30/12/1899 12:00:00,Wed,NEURAL NETWORKS AND GENETIC ALGORITHMS,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13208,U25352,30/12/1899 12:00:00,Wed,NEURAL NETWORKS AND GENETIC ALGORITHMS,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13209,P23485,30/12/1899 09:00:00,Fri,PERVASIVE NETWORK APPLICATIONS,30/12/1899 10:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
5,6,8,9,10,11,12,13,,,13210,P23485,30/12/1899 11:00:00,Tue,PERVASIVE NETWORK APPLICATIONS,30/12/1899 13:00:00,Comp,"5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13211,P23485,30/12/1899 09:00:00,Fri,PERVASIVE NETWORK APPLICATIONS,30/12/1899 10:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
17,18,19,21,22,23,26,,,,13212,P23485,30/12/1899 11:00:00,Tue,PERVASIVE NETWORK APPLICATIONS,30/12/1899 13:00:00,Comp,"17,18,19,21,22,23,26"
25,,,,,,,,,,13213,P23485,30/12/1899 11:00:00,Tue,PERVASIVE NETWORK APPLICATIONS,30/12/1899 13:00:00,Comp,25
2,3,4,5,6,8,9,10,11,12,13214,U25764,30/12/1899 13:00:00,Tue,PRACTICAL DATA ANALYTICS AND MINING,30/12/1899 15:00:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13215,U25764,30/12/1899 13:00:00,Tue,PRACTICAL DATA ANALYTICS AND MINING,30/12/1899 15:00:00,Pract,"14,15,16,17,18,19,21,22,23,24,25,26"
2,,,,,,,,,,13216,U26483,30/12/1899 15:00:00,Fri,PRACTICAL DATA SCIENCE,30/12/1899 17:00:00,Lect,2
2,3,4,5,6,8,9,10,11,12,13217,U26483,30/12/1899 13:00:00,Tue,PRACTICAL DATA SCIENCE,30/12/1899 15:00:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
3,4,5,6,8,9,10,11,12,13,13218,U26483,30/12/1899 15:00:00,Fri,PRACTICAL DATA SCIENCE,30/12/1899 17:00:00,Lect,"3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13219,U26483,30/12/1899 13:00:00,Tue,PRACTICAL DATA SCIENCE,30/12/1899 15:00:00,Pract,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13220,U26483,30/12/1899 15:00:00,Fri,PRACTICAL DATA SCIENCE,30/12/1899 17:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13221,U22507,30/12/1899 14:00:00,Thu,PROFESSIONAL AND ACADEMIC RESEARCH DEVELOPMENT,30/12/1899 15:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,13222,U22507,30/12/1899 15:00:00,Thu,PROFESSIONAL AND ACADEMIC RESEARCH DEVELOPMENT,30/12/1899 16:00:00,Sem,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13223,U22507,30/12/1899 14:00:00,Thu,PROFESSIONAL AND ACADEMIC RESEARCH DEVELOPMENT,30/12/1899 15:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13224,U22507,30/12/1899 15:00:00,Thu,PROFESSIONAL AND ACADEMIC RESEARCH DEVELOPMENT,30/12/1899 16:00:00,Sem,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13225,U22376,30/12/1899 13:00:00,Wed,PROJECT MANAGEMENT (DL),30/12/1899 16:00:00,DL,"2,3,4,5,6,8,9,10,11,12,13"
2,4,6,8,10,12,,,,,13226,U22358,30/12/1899 16:00:00,Thu,PROJECT MANAGEMENT FOR INFORMATION SYSTEMS,30/12/1899 17:00:00,Lect,"2,4,6,8,10,12"
3,5,9,11,13,,,,,,13227,U22358,30/12/1899 16:00:00,Thu,PROJECT MANAGEMENT FOR INFORMATION SYSTEMS,30/12/1899 18:00:00,Sem,"3,5,9,11,13"
14,16,18,21,23,25,,,,,13228,U22358,30/12/1899 16:00:00,Thu,PROJECT MANAGEMENT FOR INFORMATION SYSTEMS,30/12/1899 17:00:00,Lect,"14,16,18,21,23,25"
15,17,19,22,24,26,,,,,13229,U22358,30/12/1899 16:00:00,Thu,PROJECT MANAGEMENT FOR INFORMATION SYSTEMS,30/12/1899 18:00:00,Sem,"15,17,19,22,24,26"
14,15,16,17,18,19,21,22,23,25,13230,U21288,30/12/1899 16:00:00,Fri,RELIABLE AND SECURE SYSTEMS,30/12/1899 17:00:00,Pract,"14,15,16,17,18,19,21,22,23,25,26"
14,15,16,17,18,19,21,22,23,24,13231,U21288,30/12/1899 15:00:00,Fri,RELIABLE AND SECURE SYSTEMS,30/12/1899 16:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
26,,,,,,,,,,13232,U21288,30/12/1899 16:00:00,Fri,RELIABLE AND SECURE SYSTEMS,30/12/1899 17:00:00,Pract,26
2,3,4,5,6,8,9,10,11,12,13233,U24452,30/12/1899 09:00:00,Thu,RESEARCH INTERNAL PLACEMENT,30/12/1899 10:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13234,U24452,30/12/1899 09:00:00,Thu,RESEARCH INTERNAL PLACEMENT,30/12/1899 10:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13235,U25537,30/12/1899 16:00:00,Wed,RESEARCH INTERNAL PLACEMENT (DL),30/12/1899 17:00:00,DL,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13236,U25537,30/12/1899 16:00:00,Wed,RESEARCH INTERNAL PLACEMENT (DL),30/12/1899 17:00:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13237,U24453,30/12/1899 10:00:00,Thu,RESEARCH PREPARATION AND DEVELOPMENT,30/12/1899 11:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13238,U24453,30/12/1899 10:00:00,Thu,RESEARCH PREPARATION AND DEVELOPMENT,30/12/1899 11:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13239,U25536,30/12/1899 17:00:00,Wed,RESEARCH PREPARATION AND DEVELOPMENT (DL),30/12/1899 18:00:00,DL,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13240,U25536,30/12/1899 17:00:00,Wed,RESEARCH PREPARATION AND DEVELOPMENT (DL),30/12/1899 18:00:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13241,U24451,30/12/1899 11:00:00,Thu,RESEARCH PROJECT,30/12/1899 12:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13242,U24451,30/12/1899 11:00:00,Thu,RESEARCH PROJECT,30/12/1899 12:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13243,U25535,30/12/1899 15:00:00,Wed,RESEARCH PROJECT (DL),30/12/1899 16:00:00,DL,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13244,U25535,30/12/1899 15:00:00,Wed,RESEARCH PROJECT (DL),30/12/1899 16:00:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13245,P24927,30/12/1899 15:00:00,Mon,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 17:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
3,4,5,8,9,10,11,12,13,,13246,P24927,30/12/1899 10:00:00,Tue,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 11:00:00,PBL,"3,4,5,8,9,10,11,12,13"
7,,,,,,,,,,13247,P24927,30/12/1899 10:00:00,Tue,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 12:00:00,Tut,7
7,,,,,,,,,,13248,P24927,30/12/1899 11:00:00,Wed,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 12:00:00,Test-IC,7
14,,,,,,,,,,13249,P24927,30/12/1899 11:00:00,Wed,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 12:00:00,Test-IC,14
14,15,16,17,18,19,21,22,23,24,13250,P24927,30/12/1899 15:00:00,Mon,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 17:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13251,P24927,30/12/1899 10:00:00,Tue,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 11:00:00,PBL,"14,15,16,17,18,19,21,22,23,24,26"
20,,,,,,,,,,13252,P24927,30/12/1899 11:00:00,Wed,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 12:00:00,Test-IC,20
25,,,,,,,,,,13253,P24927,30/12/1899 10:00:00,Tue,SCIENTIFIC PRINCIPLES FOR ICT,30/12/1899 11:00:00,PBL,25
2,3,4,5,6,8,9,10,11,12,13254,U22359,30/12/1899 13:00:00,Fri,SECURITY AND CRYPTOGRAPHY,30/12/1899 15:00:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13255,U22359,30/12/1899 11:00:00,Tue,SECURITY AND CRYPTOGRAPHY,30/12/1899 11:55:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13256,U22359,30/12/1899 12:00:00,Tue,SECURITY AND CRYPTOGRAPHY,30/12/1899 13:00:00,Drop-In,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13257,U25160,30/12/1899 12:00:00,Wed,SECURITY MANAGEMENT,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13258,U25160,30/12/1899 12:00:00,Wed,SECURITY MANAGEMENT,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13259,U22349,30/12/1899 09:00:00,Tue,SOCIAL AND LEGAL ASPECTS OF COMPUTING,30/12/1899 11:00:00,Sem,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13260,U22349,30/12/1899 09:00:00,Tue,SOCIAL AND LEGAL ASPECTS OF COMPUTING,30/12/1899 11:00:00,Sem,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,,,,,,,,,13261,P21394,30/12/1899 09:00:00,Thu,SWITCHED NETWORK ARCHITECTURES,30/12/1899 12:00:00,Tut,"2,3"
4,5,6,8,9,10,11,12,13,,13262,P21394,30/12/1899 09:00:00,Thu,SWITCHED NETWORK ARCHITECTURES,30/12/1899 12:00:00,Comp,"4,5,6,8,9,10,11,12,13"
14,,,,,,,,,,13263,P21394,30/12/1899 10:00:00,Thu,SWITCHED NETWORK ARCHITECTURES,30/12/1899 13:00:00,Tut,14
15,16,17,18,22,23,,,,,13264,P21394,30/12/1899 09:00:00,Thu,SWITCHED NETWORK ARCHITECTURES,30/12/1899 12:00:00,Comp,"15,16,17,18,22,23"
21,,,,,,,,,,13265,P21394,30/12/1899 09:00:00,Thu,SWITCHED NETWORK ARCHITECTURES,30/12/1899 12:00:00,Comp,21
25,,,,,,,,,,13266,P21394,30/12/1899 09:00:00,Thu,SWITCHED NETWORK ARCHITECTURES,30/12/1899 10:00:00,Tut,25
2,3,4,5,6,8,9,10,11,12,13267,P24343,30/12/1899 12:00:00,Mon,SYSTEM ADMINISTRATION AND INTERNETWORKING,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
8,9,10,11,12,13,,,,,13268,P24343,30/12/1899 14:00:00,Mon,SYSTEM ADMINISTRATION AND INTERNETWORKING,30/12/1899 15:00:00,Tut,"8,9,10,11,12,13"
8,9,10,11,12,13,,,,,13269,P24343,30/12/1899 15:00:00,Tue,SYSTEM ADMINISTRATION AND INTERNETWORKING,30/12/1899 18:00:00,Comp,"8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13270,P24343,30/12/1899 12:00:00,Mon,SYSTEM ADMINISTRATION AND INTERNETWORKING,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
21,22,23,26,,,,,,,13271,P24343,30/12/1899 15:00:00,Tue,SYSTEM ADMINISTRATION AND INTERNETWORKING,30/12/1899 18:00:00,Comp,"21,22,23,26"
25,,,,,,,,,,13272,P24343,30/12/1899 15:00:00,Tue,SYSTEM ADMINISTRATION AND INTERNETWORKING,30/12/1899 18:00:00,Comp,25
14,15,16,17,18,19,21,22,23,24,13273,U23826,30/12/1899 09:00:00,Tue,SYSTEM SECURITY,30/12/1899 11:00:00,Pract,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13274,P22246,30/12/1899 09:00:00,Thu,"SYSTEMS, SECURITY AND DATA ANALYSIS",30/12/1899 10:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,13275,P22246,30/12/1899 11:00:00,Thu,"SYSTEMS, SECURITY AND DATA ANALYSIS",30/12/1899 12:00:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,,,,,13276,P22246,30/12/1899 09:00:00,Thu,"SYSTEMS, SECURITY AND DATA ANALYSIS",30/12/1899 10:00:00,Lect,"14,15,16,17,18,19"
14,15,16,17,18,19,,,,,13277,P22246,30/12/1899 11:00:00,Thu,"SYSTEMS, SECURITY AND DATA ANALYSIS",30/12/1899 12:00:00,Pract,"14,15,16,17,18,19"
21,22,23,25,26,,,,,,13278,P22246,30/12/1899 09:00:00,Thu,"SYSTEMS, SECURITY AND DATA ANALYSIS",30/12/1899 10:00:00,Lect,"21,22,23,25,26"
21,22,23,25,26,,,,,,13279,P22246,30/12/1899 11:00:00,Thu,"SYSTEMS, SECURITY AND DATA ANALYSIS",30/12/1899 12:00:00,Pract,"21,22,23,25,26"
2,3,4,5,6,8,9,10,11,12,13280,U21276,30/12/1899 11:00:00,Wed,THEORETICAL COMPUTER SCIENCE,30/12/1899 12:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,,,,,,,,,,13281,U21276,30/12/1899 16:00:00,Mon,THEORETICAL COMPUTER SCIENCE,30/12/1899 17:30:00,Test-IC,14
14,15,16,17,18,19,21,22,23,24,13282,U21276,30/12/1899 10:00:00,Wed,THEORETICAL COMPUTER SCIENCE,30/12/1899 11:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13283,P21420,30/12/1899 09:00:00,Thu,WAN AND VLAN SOLUTIONS,30/12/1899 10:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
3,4,5,8,9,10,11,12,13,,13284,P21420,30/12/1899 12:00:00,Thu,WAN AND VLAN SOLUTIONS,30/12/1899 13:00:00,Comp,"3,4,5,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13285,P21420,30/12/1899 09:00:00,Thu,WAN AND VLAN SOLUTIONS,30/12/1899 10:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
15,16,17,18,19,21,22,23,24,25,13286,P21420,30/12/1899 12:00:00,Thu,WAN AND VLAN SOLUTIONS,30/12/1899 13:00:00,Comp,"15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13287,P22439,30/12/1899 14:00:00,Mon,WEB DEVELOPMENT,30/12/1899 16:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,13288,P22439,30/12/1899 16:00:00,Mon,WEB DEVELOPMENT,30/12/1899 18:00:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
8,,,,,,,,,,13289,P22439,30/12/1899 09:00:00,Fri,WEB DEVELOPMENT,30/12/1899 12:55:00,Work,8
8,,,,,,,,,,13290,P22439,30/12/1899 13:00:00,Fri,WEB DEVELOPMENT,30/12/1899 17:00:00,Work,8
13,,,,,,,,,,13291,P22439,30/12/1899 09:00:00,Fri,WEB DEVELOPMENT,30/12/1899 12:55:00,Work,13
13,,,,,,,,,,13292,P22439,30/12/1899 13:00:00,Fri,WEB DEVELOPMENT,30/12/1899 17:00:00,Work,13
14,15,16,17,18,19,21,22,23,24,13293,U21260,30/12/1899 10:00:00,Mon,WEB FOUNDATIONS 1,30/12/1899 11:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13294,U21277,30/12/1899 16:00:00,Tue,WEB RESEARCH,30/12/1899 18:00:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,,,,,13295,U21277,30/12/1899 16:00:00,Tue,WEB RESEARCH,30/12/1899 18:00:00,Pract,"14,15,16,17,18,19"
21,22,23,25,26,,,,,,13296,U21277,30/12/1899 16:00:00,Tue,WEB RESEARCH,30/12/1899 18:00:00,Pract,"21,22,23,25,26"
14,,,,,,,,,,13298,U21264,30/12/1899 09:00:00,Mon,WEB-SCRIPT PROGRAMMING,30/12/1899 12:55:00,Work,14
14,,,,,,,,,,13299,U21264,30/12/1899 13:00:00,Mon,WEB-SCRIPT PROGRAMMING,30/12/1899 17:00:00,Work,14
14,15,16,17,18,19,21,22,23,24,13300,U21264,30/12/1899 12:00:00,Fri,WEB-SCRIPT PROGRAMMING,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
